INFO 2024-08-21 22:16:59,560 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-21 22:16:59,561 autoreload Waiting for apps ready_event.
DEBUG 2024-08-21 22:17:00,195 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-21 22:17:00,259 autoreload Watching dir D:\Desktop\学校\大二下\软工\SEGroup6\猫猫就诊\Project\django\..\frontend\dist with glob **/*.
DEBUG 2024-08-21 22:17:00,260 autoreload Watching dir D:\Desktop\学校\大二下\软工\SEGroup6\猫猫就诊\Project\django\locale with glob **/*.mo.
DEBUG 2024-08-21 22:17:00,260 autoreload Watching dir D:\Desktop\学校\大二下\软工\SEGroup6\猫猫就诊\Project\django\app01\locale with glob **/*.mo.
DEBUG 2024-08-21 22:17:00,260 autoreload Watching dir C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-08-21 22:17:01,080 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\template\context.py first seen with mtime 1712542632.9461339
DEBUG 2024-08-21 22:17:01,081 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1712542632.5387113
DEBUG 2024-08-21 22:17:01,081 autoreload File D:\Anaconda\Lib\site-packages\markdown\inlinepatterns.py first seen with mtime 1676437941.0
DEBUG 2024-08-21 22:17:01,081 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\contrib\auth\forms.py first seen with mtime 1712542629.7509468
DEBUG 2024-08-21 22:17:01,082 autoreload File D:\Anaconda\Lib\wsgiref\handlers.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,082 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\utils\autoreload.py first seen with mtime 1712542633.0039868
DEBUG 2024-08-21 22:17:01,082 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\sqlparse\sql.py first seen with mtime 1712133554.2277665
DEBUG 2024-08-21 22:17:01,082 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\db\backends\base\base.py first seen with mtime 1712542632.676227
DEBUG 2024-08-21 22:17:01,083 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\contrib\admin\sites.py first seen with mtime 1712542628.7139611
DEBUG 2024-08-21 22:17:01,083 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\template\loaders\__init__.py first seen with mtime 1712542632.9657743
DEBUG 2024-08-21 22:17:01,084 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\template\engine.py first seen with mtime 1712542632.950772
DEBUG 2024-08-21 22:17:01,084 autoreload File D:\Anaconda\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1686163281.0
DEBUG 2024-08-21 22:17:01,084 autoreload File D:\Anaconda\Lib\asyncio\events.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,084 autoreload File D:\Anaconda\Lib\site-packages\cryptography\hazmat\__init__.py first seen with mtime 1694444676.0
DEBUG 2024-08-21 22:17:01,085 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1712542629.756946
DEBUG 2024-08-21 22:17:01,085 autoreload File D:\Anaconda\Lib\site-packages\docutils\parsers\rst\__init__.py first seen with mtime 1676428113.0
DEBUG 2024-08-21 22:17:01,085 autoreload File D:\Anaconda\Lib\encodings\__init__.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,085 autoreload File D:\Anaconda\Lib\urllib\error.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,086 autoreload File D:\Anaconda\Lib\site-packages\chardet\jpcntx.py first seen with mtime 1676436166.0
DEBUG 2024-08-21 22:17:01,086 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\middleware\security.py first seen with mtime 1712542632.9421341
DEBUG 2024-08-21 22:17:01,086 autoreload File D:\Anaconda\Lib\site-packages\urllib3\response.py first seen with mtime 1686163281.0
DEBUG 2024-08-21 22:17:01,086 autoreload File D:\Anaconda\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\rsa.py first seen with mtime 1694444676.0
DEBUG 2024-08-21 22:17:01,087 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\db\migrations\exceptions.py first seen with mtime 1712542632.7409103
DEBUG 2024-08-21 22:17:01,087 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\templatetags\i18n.py first seen with mtime 1712542632.975765
DEBUG 2024-08-21 22:17:01,087 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\rest_framework\serializers.py first seen with mtime 1714200333.2680871
DEBUG 2024-08-21 22:17:01,087 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\utils\log.py first seen with mtime 1712542633.029127
DEBUG 2024-08-21 22:17:01,088 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\conf\urls\static.py first seen with mtime 1712542628.7001944
DEBUG 2024-08-21 22:17:01,088 autoreload File D:\Anaconda\Lib\site-packages\chardet\langturkishmodel.py first seen with mtime 1676436166.0
DEBUG 2024-08-21 22:17:01,089 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\core\signing.py first seen with mtime 1712542632.5520906
DEBUG 2024-08-21 22:17:01,089 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1712542629.4425714
DEBUG 2024-08-21 22:17:01,089 autoreload File D:\Anaconda\Lib\site-packages\pygments\formatters\html.py first seen with mtime 1684280248.0
DEBUG 2024-08-21 22:17:01,089 autoreload File D:\Anaconda\Lib\site-packages\yaml\_yaml.cp311-win_amd64.pyd first seen with mtime 1676432529.0
DEBUG 2024-08-21 22:17:01,089 autoreload File D:\Anaconda\Lib\site-packages\docutils\frontend.py first seen with mtime 1676428113.0
DEBUG 2024-08-21 22:17:01,090 autoreload File D:\Anaconda\DLLs\pyexpat.pyd first seen with mtime 1694438852.0
DEBUG 2024-08-21 22:17:01,090 autoreload File D:\Anaconda\Lib\stringprep.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,090 autoreload File D:\Anaconda\Lib\email\encoders.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,090 autoreload File D:\Anaconda\Lib\site-packages\pygments\filters\__init__.py first seen with mtime 1684280248.0
DEBUG 2024-08-21 22:17:01,091 autoreload File D:\Anaconda\Lib\site-packages\yaml\representer.py first seen with mtime 1676432529.0
DEBUG 2024-08-21 22:17:01,091 autoreload File D:\Anaconda\Lib\site-packages\chardet\charsetprober.py first seen with mtime 1676436166.0
DEBUG 2024-08-21 22:17:01,091 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\db\models\fields\proxy.py first seen with mtime 1712542632.7838862
DEBUG 2024-08-21 22:17:01,091 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\pymysql\constants\COMMAND.py first seen with mtime 1714355564.9327886
DEBUG 2024-08-21 22:17:01,092 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\rest_framework\relations.py first seen with mtime 1714200333.2601514
DEBUG 2024-08-21 22:17:01,092 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1712542632.5356987
DEBUG 2024-08-21 22:17:01,092 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\views\generic\detail.py first seen with mtime 1712542633.0687644
DEBUG 2024-08-21 22:17:01,093 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\rest_framework\parsers.py first seen with mtime 1714200333.2580538
DEBUG 2024-08-21 22:17:01,093 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1714200333.4050229
DEBUG 2024-08-21 22:17:01,093 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\core\management\color.py first seen with mtime 1712542632.6202266
DEBUG 2024-08-21 22:17:01,093 autoreload File D:\Anaconda\Lib\asyncio\base_tasks.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,094 autoreload File D:\Anaconda\Lib\concurrent\__init__.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,094 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\db\backends\base\client.py first seen with mtime 1712542632.6776721
DEBUG 2024-08-21 22:17:01,095 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\db\models\aggregates.py first seen with mtime 1712542632.761911
DEBUG 2024-08-21 22:17:01,095 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\db\models\functions\datetime.py first seen with mtime 1712542632.7919111
DEBUG 2024-08-21 22:17:01,095 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\conf\__init__.py first seen with mtime 1712542628.2517073
DEBUG 2024-08-21 22:17:01,096 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\pymysql\err.py first seen with mtime 1714355564.9327886
DEBUG 2024-08-21 22:17:01,096 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\rest_framework\fields.py first seen with mtime 1714200333.2484212
DEBUG 2024-08-21 22:17:01,096 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\core\wsgi.py first seen with mtime 1712542632.5540905
DEBUG 2024-08-21 22:17:01,097 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\core\management\commands\runserver.py first seen with mtime 1712542632.6422262
DEBUG 2024-08-21 22:17:01,097 autoreload File D:\Anaconda\Lib\site-packages\pygments\lexers\special.py first seen with mtime 1684280248.0
DEBUG 2024-08-21 22:17:01,098 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\django\conf\locale\__init__.py first seen with mtime 1712542628.262708
DEBUG 2024-08-21 22:17:01,098 autoreload File D:\Anaconda\Lib\asyncio\windows_events.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,099 autoreload File D:\Anaconda\Lib\getpass.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,099 autoreload File C:\Users\86159\AppData\Roaming\Python\Python311\site-packages\rest_framework\utils\representation.py first seen with mtime 1714200333.563644
DEBUG 2024-08-21 22:17:01,099 autoreload File D:\Anaconda\Lib\zoneinfo\_tzpath.py first seen with mtime 1692878958.0
DEBUG 2024-08-21 22:17:01,100 autoreload File D:\Anaconda\Lib\optparse.py first seen with mtime 1692878958.0
